city,company,date,detail,function,industry,job,level,state,title,type
weehawken,softcom systems inc,2022-06-17,role java developer location remote duration long term contract job description mandatory skill angular javaj2ee postgresql java 8spring cloud knowledge bankingfinancial ,None,None,None,None, nj,lead java developer,contract
None,workstep,2022-06-08,the company workstep leading software provider workforce retention hiring solutions supply chain industry series b startup backed leading investors disrupting industry changing way companies traditionally hired retained frontline supply chain workers mission simple make supply chain better place work helping companies within ecommerce manufacturing retail transportation logistics make betterfit hires improve frontline workforce satisfaction retention role workstep datafirst company putting data work aspect everything growing data team specialized crossfunctional group collaborates variety departments help drive decisions provide direction company early member first data engineer team instrumental continuing build existing analytics data pipeline capabilities short term tremendous impact lay foundational data practices enable business benefit data scienceanalytics scale work closely director data engineering chief technology officer design build scalable resilient end end data pipelines ingest transform deliver data using combination industry leading opensource vendormanaged solutions youll serve primary owner building evolving core datasets serve unique sources truth product business functions role collaborate product managers product engineers data scientists bizops accommodate stakeholder needs building reliable scalable data pipelines responsibilities engineer efficient adaptable scalable data pipelines process structured unstructured data develop etl workflows data profiling matching cleansing integration management grow data lakewarehouse data governance strategy design maintain tools systems empower data subject matter experts analysts scientists explore derive insights data serve internal expert data sources governance mathematicalanalytical rigor develop software infrastructure apis interfaces internal external stakeholders access data products requirements bachelors degree quantitative field computer science applied math economics statistics engineering equivalent industry experience strong command sql python objectoriented programming paradigms common analytical libraries experience building modern scalable data pipelines etl processes experience data streamingworkfloworchestration technologies like spark kafka airflow experience version control git cicd toolingprocesses data pipelines infrastructure configurations experience agile software development process familiarity dbt hadoopemr pyspark experience containerization tools workflowsexecution ie docker kubernetes comfortable smaller rapidly evolving early stage startup environment working remotely desire comfort experimenting deriving pocs iteratively converge right tool task passion workstep mission leveraging data bring insights various business operationsprocesses preferred experience experience working primary industries hr warehousing trucking manufacturing production experience deployingleveraging productiongrade mlops ml pipelines strong command advanced sql modern data warehouse environment bigquery redshift snowflake benefits workstep fully remote company meaning team work suits whether thats east coast west coast mountains beach collaborative bunch focused helping customers succeed deliver results fast also know fun enjoy others company benefits include remote working environment flexible pto topnotch technology annual team building onsites safe resume workspace wellness professional development stipends internet phone reimbursement competitive companysponsored health vision dental benefits package opportunity join passionate motivated fun team early stage help shape execute mission collaborator likes challenge mind rolling sleeves wants join fast growing company early stage want hear workstep eeo employer discriminate applicant employment employee race color religion national origin age sex sexual orientation gender identity gender disability age protected veteran status committed building safe inclusive environment people backgrounds ,information technology,human resources services,data engineer,mid-senior level,san francisco bay area,data engineer,full-time
plano,insight global,2022-06-10,desired skills experience 10 years experience developing datarelated solutions software bachelors degree technical discipline equivalent combination educationexperience required experience extracttransformload etl extractloadtransform elt tools including batch realtime data transmission applications ssis informatica kafka spark mulesoft equivalent software experience database technologies microsoft sql server oracle nosql databases experience multiple programming languages c java python sql scala similar intermediate knowledge infrastructure standards tools application performance monitoring service management devops software high degree critical thinking experience presenting multiple channels variety audiences plusses daytoday role open candidates currently sitting open relocate camas wa plano tx tampa fl client remote hybrid 3 days office 2 days wfh data engineer subject matter expert designing developing optimizing data processing systems pipelines used populate data transactional databases data warehouses data marts data repositories data engineer builds systems improve data sets data systems operating applications performing analysis identifying business technology issues also responsible operational support incidentproblem management creating logging instrumentation analysis process improvements also coordinate teams configure implement security monitoring tooling related capabilities apply assigned systems report business intelligence team leader daytoday use agile practices elicit refine requirements iterative process planning defining acceptance criteria prioritizing developing delivering enterprise data asset solutions configure customize manage integration tools databases warehouses analytical systems use data related software create deploy data extraction transformation loading processes pipelines multiple sources including databases apis data files deploy structured semistructured unstructured data storage models data vault dimensional modeling variety platforms meet requirements coordinate security application monitoring development tooling related capabilities responsible teams provide operational support incident management data pipelines data flows including updating internal clients parties status changes issues encountered author maintain accurate uptodate documentation processes procedures technical designs ,None,None,data engineer,None, tx,data engineer,full-time
san diego,petco,2022-06-11,r98505 come work place innovation teamwork come together support exciting missions world position purpose data scientist sits enterprise analytics data science department uses analytics data science continuously pursue best practices innovation optimize media program performance drive operational efficiency candidate shall strategic mindset build technical roadmap elevate analytics impact stakeholders scope role focuses supporting strategic initiatives marketing merchandizing customer analytics site analytics assortment pricing promotions broadly work every functional area enterprise essential job functions master marketing mix modeling develop insights optimize media spend develop insights multi touch attribution use insights optimize media performance institutionalize test learn framework within marketing build learning library feedback loop stakeholders run complex queries retrieve synthesize present critical marketing data stakeholders serve marketing data architect ensure marketing data availability accuracy maintain enhance current data logics pipelines meet existing new analysis needs continuously look new data sources enrich marketing customer data better understand customer behavior improve marketing propensity model performance improve upon existing methodologies developing new data sources testing model enhancements finetuning model parameters build utilize propensity models marketing platforms improve media channel performance transform business questions analytical framework design develop present strategic recommendations actionable insights audiences varying levels technical sophistication help build technical roadmap elevate marketing analytical capabilities become cuttingedge marketing analytics org provide requirements develop analytic capabilities platforms pipelines apply statistical machine learning knowledge specific business problems data conduct written verbal presentation share insights recommendations audiences varying levels technical sophistication designs develops presents strategic recommendations directly address key business questions duties responsibilities interact professionally effectively verbal written communication professional contacts emphasis company interests independently prioritize accomplish multiple tasks within established timeframes perform related duties tasks responsibilities required assigned directed educationexperience bachelors degree business economics math statistics computer science engineering related field master degree strongly preferred 3 years experience bachelor degree 2 years experience master degree business analyticsmarketing analytics data science required experience building propensity models preferred experience marketing mix modeling mm multi touch attribution mta preferred proficient sql experience snowflake cloud datawarehouse proficient data science tools like python r hands experience data visualization tools looker tableau power bi demonstrable track record dealing well ambiguity prioritizing needs delivering results dynamic environment ability explainpresent complicatedadvanced analytical methodology results nontechnical audiences excellent communication skills excellent quantitative modeling statistical analysis skills problemsolving skills related experience retail organization strong plus however strategic consulting analytics capabilities core requirements location position based san diego 100 remote petco animal supplies inc equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability age protected veteran status protected classification petco animal supplies inc equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability age protected veteran status protected classification ,information technology,consumer services,data scientist,not applicable, ca,data scientist,full-time
scottsdale,"the quantum group, usa, llc",2022-06-17,quantum entrepreneurial fastpaced financial sales marketing firm north scottsdale looking inoffice email designdeveloper salary opportunities commensurate experience reporting director marketing collaborate internal marketing team partner companies external agencies various web email marketing initiatives responsibilities design code build emails htmlcss email campaigns building platforms include salesforce marketingcloud mailchimp constant contact robly etc perform testing browser email provider platforms ie outlook webmail etc populate html templates set templates email marketing campaign sendouts desired skills experience demonstrated ability hand code html css well knowledge limitations pertaining html email experience adobe creative suite photoshop preferred email design selfdirected capable working fastpaced environment actively collaborate internal teams web projects design development deployment cycles strong attention detail execution including ability work concept project completion applicants required take pi survey subject background check prior hire offer competitive compensation benefits package including health benefits 401k quantum group equal opportunity employer ,marketing,"insurance, financial services, and investment management",None,associate, az,email design developer,full-time
shanghai,afterpay,2022-05-30,company description afterpay transforming way pay allowing customers buy products immediately pay purchases four installments service completely free customers pay time helping people spend responsibly december 31 2021 afterpay offered 122000 world favorite retailers 19 million active customers adopted service afterpay currently available australia canada new zealand united states united kingdom france italy spain known clearpay afterpay mission power economy everyone wins afterpay wholly owned subsidiary block inc nyse sq job description risk data team afterpay mainly responsible design management continuously enhancing risk analytics data platform delivering data solutions stakeholders solutions include limited data modeling data processing data monitoring data management data visualization data automation etc data engineer working closely platform engineers data scientists build run maintain data pipelines data services solve complex business challenges scale risk domain collaborate data scientists improve data transparency enable better decisionmaking processes also work business data analysts create applications tools maximize efficient use data sources responsible design development deliver enterprise analytical data platform support data scientists analysts define govern data modeling design standards tools best practices related development data marts master large volumes data extract manipulate large datasets using standard tools sql spark python responsible buildingmaintaining alerts dashboards metrics monitor availability quality live data features models lead support various ad hoc projects needed qualifications bachelors degree computer science engineering mathematics statistics equivalent practical experience handson working experience data technology domain familiar rdbms big data platform experience data warehousing concept design development strong software programming skills familiar programming languages like python c c java preferred qualifications masters phd computer science engineering mathematics statistics equivalent practical experience selfstarter motivated passion developing best possible solutions problems intellectually curious comfortable operating fastpaced everchanging environment exceptional time management skills ability multitask triage evolving responsibilities role superb communication organization skills ability simplify present complex engineering analytical concepts executive audience experience flink kafka spark olap engines like prestoclickhousedruidkylin experience working amazon web services cloud computing platforms plus work experience risk payments advantage essential additional information working build inclusive economy customers equal access opportunity strive live values building workplace block proud equal opportunity employer work hard evaluate employees job applicants consistently based solely core competencies required role hand without regard legally protected class believe fair committed inclusive interview experience including providing reasonable accommodations disabled applicants throughout recruitment process encourage applicants share needed accommodations recruiter treat requests confidentially possible want learn build workplace fair square check id page block inc nyse sq global technology company focus financial services made square cash app spiral tidal tbd build tools help people access economy square helps sellers run grow businesses integrated ecosystem commerce solutions business software banking services cash app anyone easily send spend invest money stocks bitcoin spiral formerly square crypto builds funds free opensource bitcoin projects artists use tidal help succeed entrepreneurs connect deeply fans tbd building open developer platform make easier access bitcoin blockchain technologies without go institution ,engineering,it services and it consulting,data engineer,associate, va,"data engineer, risk & analytics",full-time
santa clara,dice,2022-06-17,dice leading career destination tech experts every stage careers client tranzeal inc seeking following apply via dice today role ui developer ii location santa clara caopen remote duration long term role skills csshtmljavascript solid experience pure javascript without need rely libraries accomplish innovative interactions work product manager ux designer understand requirements ensure technical feasibility uiux design experience using tools including source control tool git package managers npm grunt transpiler babel build tools webpack bower understanding major browsers compatibilities understanding manipulate elements use debugger execute scripts inspect network resources using browser developer tools experience following less angular typescript jasmine jquery experience webgl graphics scripting framework openseadragon paperjs fabricjs threejs plus experience electron websockets jenkins plus education bachelors masters degrees engineering discipline preferably computer engineering computer science information systems related field equivalent work experience 3 years relevant industry experience provided dice ,engineering and information technology,"technology, information and internet",None,entry level, ca,ui developer ii open for all remote,contract
santa ana,aston carter,2022-06-17,we seeking motivated individuals join team seeking hire experience data entry specialist supporting staff youre looking opportunity provides competitive pay benefits lots opportunity growth apply description conversion data input files various formats processing 5060 files within transactions internal system renaming dropping information converting files excel receive process files procured via tax amounts paid borrower reviews monitor programs enhancements tools regularly ensure best practices utilized monitors data inputs enters information system provides reports management reviews existing applications makes recommendations works development team make changes enhancements additional skills qualifications ability work fastpaced environment ability demonstrate initiative problemsolving skills good communication skills written verbal experience level entry level aston carter aston carter dedicated expanding career opportunities skilled professionals power business success driven talented motivated people join team across range positions recruiting sales delivery corporate roles part team employees opportunity longterm career success hard work rewarded potential growth limitless established 1997 aston carter leading staffing consulting firm providing highcaliber talent premium services 7000 companies across north america spanning four continents 200 offices extend clients capabilities seeking solvers delivering solutions address today workforce challenges organizations looking innovative solutions shaped criticalthinking professionals visit astoncartercomastoncartercom aston carter company within allegis group global leader talent solutions company equal opportunity employer consider applications without regards race sex age color religion national origin veteran status disability sexual orientation gender identity genetic information characteristic protected law would like request reasonable accommodation modification adjustment job application process interviewing process due disability please call 8882376835 email astoncarteraccommodationastoncartercommailto20astoncarteraccommodationastoncartercom accommodation options however questions position please contact recruiter located bottom job posting recruiter sole point contact questions position ,administrative,staffing and recruiting,data specialist,entry level, ca,data entry specialist,full-time
seattle,stackline,2022-06-09,stackline first fullfunnel connected commerce platform worlds innovative brands business leaders product innovators performance marketers analysts trust stackline single source commerce truth fueled proprietary neural network market insights revenue metrics behavior analyses autonomous functionality create actions determine success failure founded 2014 seattle offices minneapolis new york salt lake city london since november 2020 stackline raised 180 million strategic investments goldman sachs growth equity ta associates stackline mission fuel future commerce bringing brands customers closer together join team data analyst ii help leading consumer brands use data technology discover insights improve decisionmaking transform businesses join team data analyst help leading consumer brands use data technology discover insights improve decisionmaking transform businesses data analyst stackline use experience analyze glean insights massive data pipelines process ingest cleanse billion data points week working closely data scientists product management teams deliver high quality data products handson analytical role large part time spent performing mathematical deepdives across diverse array datasets responsibilities conduct endtoend analyses datasets across business partner crossfunctional teams identify new opportunities requiring use modern analytical techniques utilize analytical techniques design algorithms outlier detection use existing insights develop new strategies drive product strategy minimum qualifications bsba mathematics physics computer science another technical field demonstrated experience python sql 2 years direct industry work experience one following areas data science data analytics data engineering 2 years experience statistics probability particularly application systems analysis operations research preferred qualifications prior experience big data technologies hadoop spark prior experience using machine learning tools tensorflow sklearn demonstrated experience designing building new ideas working closely technical teams concept generation implementation experience working startup retail digital advertising ecommerce environment benefits perks important every employee feels supported complete life best work today future investing person competitive compensation also industry leading benefits perks ways support employees offering 100 paid medical dental vision employees qualifying dependents company 401k plan plus matching company paid life insurance 20 days annually paid time accrual tenure needed 9 paid company holidays 100 paid parental leave 20 weeks birthing mothers 12 weeks parents summer fridays early close 2pm annual training development stipend 1000 usd fully stocked kitchen snacks weekly fresh fruit stackline committed creating diverse environment proud equal opportunity employer qualified applicants receive consideration employment without regard race religion gender gender identity expression sexual orientation national origin genetics disability age veteran status ,information technology,retail,data analyst,entry level, wa,data analyst ii,full-time
vancouver,roi rocket,2022-06-10,you critical member project team responsible cleaning structuring data spss excel generating data crosstabulation tables banners using wincross programming surveys decipher qualtrics monitoring operations quality control procedures improvements learning using variety advanced analytical techniques director marketing sciences essential duties responsibilities clean structure complex data sets spss produce clientfriendly data crosstabulations analyzeinterpret results using statistical techniques spss programs assigned program online surveys special attention logic aesthetics perform various quality assurance tasks maintain databasesdata systems define new process improvements requirementsqualifications minimum 3 years relevant professional experience babs related field eg business marketing analytics computer science data science economics information management market research mathematics statistics strong knowledge experience statistical packages analyzing large datasets specifically spss excel experience using crosstabulation software preferably wincross knowledge decipher qualtrics javascript python andor xml helpful required provided demonstrate understanding survey logic potential acquire necessary expertise ,information technology,research services,data specialist,associate, wa,data specialist,full-time
kansas city,jobot,2022-06-17,weve business 95 years pride best resource first time home buyers veterans jobot job hosted brendan thomas fit easy apply clicking apply button sending us resume salary 120000 140000 per year bit us well know financial institution 95 years business looking talented experienced data scientist join growing team join us position work remotely open remote candidates following states az de fl ia il ks mo nc ne nh oh pa tx wv comprehensive medical dental vision coverage 401k immediate employer match generous pto sick leave paid holidays personal days birthday additional mortgage banking benefits employee referral bonuses strong training programs aimed make successful job details help us use interpret data generate insights drive business decisions bring experience data analytics team part larger application development organization work business stakeholders software developers project managers deliver data analytics products work closely managers senior leaders translate business objectives analytics requirements use centralized data repository come analysis recommendations communicate insights actions business via data visualization presentation report interested hearing easy apply clicking apply button ,engineering and information technology,it services and it consulting and software development,data scientist,mid-senior level, mo,sr. data scientist remote,full-time
denver,cvs health,2022-06-01,job description cvs health seeks change way individuals manage healthcare focusing features matter customers building software modern lean way deploying continuously cloud server teams focused building provider search prescription fulfillment apis services used multiple applications help millions members effectively find care resources need youll immediately immersed highly organized agile delivery system working tightly within diverse team six people representing data engineering qa product meet every day team discuss progress challenges pairing multiple times per week teammates well colleagues teams teach learn contribute design planning discussions rigorous two week cadence meet every quarter team actively participate planning sessions help ensure smooth technical delivery good worklife balance look ways improve service reliability performance customer base continues grow working product partners deliver new features improve user experience refactoring existing data pipelines decrease time market improve developer satisfaction resp working collaboratively engineers data scientists business product owners geographically dispersed agile environment developing robust reusable scalable datadriven solutions automate ingestion processing transformation enterprise data cloud partnering architecture build support cloud data infrastructure data pipelines assisting selection integration datarelated tools frameworks expand data platform capabilities monitoring troubleshooting supporting data execution production environment identifying fixing problems code producing extensible thoroughlytested data pipelines seeking opportunities improve foundation data platform frameworks learning new software development skills engineering best practices cloud engineering methods salary range position typically pays 60000 12800070 required qualifications 3 years data engineering data analysis andor data integration 3 years python software development expert sql data profiling analysis extraction ability work within team environment problem solving technical communication skills experience translating feature requests working software open mind different solutions willingness discuss alternatives willingness work within cohesive team environment emphasizes culture teaching learning covid requirements covid19 vaccination requirement cvs health requires certain colleagues fully vaccinated covid19 including booster shots required allowable law unless approved reasonable accommodation based disability medical condition religious belief legally recognized reasons prevents vaccinated required received least one covid19 shot prior first day employment provide proof vaccination status apply reasonable accommodation within first 10 days employment please note states roles may required provide proof full vaccination approved reasonable accommodation begin actively work preferred qualifications sql implementations postgresql sql server oracle mysql nosql implementations elasticsearch dynamodb mongodb experience working structured unstructured data continuous integration continuous delivery within data delivery environment linux operations shell scripting building administering big data realtime streaming architectures cloud environment aws google azure software development two following python javascript java nodejs education bachelors degree computer science technical discipline equivalent combination formal education experience business overview bring heart cvs health every one us cvs health shares single clear purpose bringing heart every moment health purpose guides commitment deliver enhanced humancentric health care rapidly changing world anchored brand heart center purpose sends personal message deliver services important deliver heart work behaviors support purpose want everyone works cvs health feel empowered role play transforming culture accelerating ability innovate deliver solutions make health care personal convenient affordable strive promote sustain culture diversity inclusion belonging every day cvs health affirmative action employer equal opportunity employer physicianowned businesses cvs health provides management services discriminate recruiting hiring promotion personnel action based race ethnicity color national origin sexgender sexual orientation gender identity expression religion age disability protected veteran status characteristic protected applicable federal state local law ,information technology,retail health and personal care products,data engineer,entry level, co,"data engineer, python & sql",full-time
sandy,dice,2022-06-17,dice leading career destination tech experts every stage careers client consultnet llc seeking following apply via dice today job description mid sr data engineer salt lake city ut direct hire pay range 130k 150k bonus job description client one fastest growing technology companies utah growing levels organization candidate work closely crossfunctional teams turn data critical information knowledge used make sound business decisions business processes also gain indepth understanding cybersecurity business environment responsible maintenance health tools ingest data generated diverse set platforms role tools used largely cloud based support streaming batch processing trying streamline data collections data read responsibilities writing data applications using tools python specifically data science libraries ssis airflow talend similar thorough knowledge rdbms particularly sql server postgres build manage aws database technologies rds glue create data systems manage snowflake databases build interacting data warehousing big data technologies create maintain data pipelines support data science create streaming data systems using kafka create optimize large data structures experience working ingest writing apis experience etl intelligence systems build query oo soa web services restful preferred patterns practices experience agile scrum methodologies maintain health data infrastructure troubleshoot performance issues identify design implement internal process improvements automating manual processes optimizing data delivery redesigning infrastructure greater scalability etc may work hours complete business objectives required required skills 5 years database data system development mid needs 3 years kafka snowflake aws technologies postgres experience developing ssis packages outstanding analytical troubleshooting skills bonus skills bachelors degree computer science related discipline preferred streaming technologies kinesis spark parquet anything data frames part consultnet difference leading national provider staffing solutions consultnet delivers exceptional services startup midmarket fortune 1000 companies across north america since 1996 weve partnered clients create rewarding opportunities consultants successfully building teams surefire results past two years alone placed 1500 consultants contract contracttohire direct placement opportunities understand communication key finding right job matches skills career goals us work work breadth offerings extends multiple positions major markets throughout country see wwconsultnetcom provided dice ,information technology,"technology, information and internet",data engineer,associate, ut,mid to sr. data engineer,full-time
None,centene corporation,2022-06-17,you could one changes everything 26 million members centene transforming health communities one person time diversified national organization access competitive benefits including fresh perspective workplace flexibility applicants job flexibility work remotely position purpose assist analysis correction data migrated one provider application another review ongoing provider set ensure compliance standards maintain spreadsheets collect track prepare compile distribute statistical data daily weekly monthly reports analyze reports determine data accurate requires modification manipulate existing data edit current information validate new entries database accuracy maintain update organizations provider data applications coordinate data verification process enrolled providers update organizations provider data applications resolve complex provider data issues assist provider projects meet service level agreement targets ability work weekends overtime required comprehensive benefits package flexible work solutions including remote options hybrid work schedules dress flexibility competitive pay paid time including paid holidays health insurance coverage dependents 401k stock purchase plans tuition reimbursement bestinclass training development educationexperience high school diploma equivalent 2 years data analysis experience preferably healthcare insurance industry provider information systems auditing amisys andor portico preferred centene equal opportunity employer committed diversity values ways different qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability veteran status characteristic protected applicable law ,information technology,insurance and hospitals and health care,data analyst,not applicable,tx,provider data analyst remote,full-time
reno,nzero,2022-06-17,about nzero nzero 247 data dashboard gives companies communities organizations accurate emissions data need make smart decisions benefit health planet unlike carbon management offerings rely thirdparty data opaque averages nzero gathers accurate firstparty contextual data comprehensive view making simple organizations pinpoint energy opportunities within operations easily implement carbon reduction actions spend smarter along way role looking data entry specialist update maintain information company databases computer systems data entry specialist responsibilities include collecting entering data databases maintaining accurate records valuable company information ideal candidate essential data entry skills fast typing eye detail familiarity spreadsheets online forms work technical account managers maintaining data hygiene previous experience data entry clerk similar position considered advantage responsibilities compiling sorting verifying accuracy information process data required using excel adhering best data management practices maintaining high standard accuracy efficiency update data appropriate toolssystems accurate timely manner avoid backlogging maintaining logs completed work performing regular backups ensure data preservation maintains filing system protects confidential customer information comply data integrity security policies basic qualifications excellent attention detail maintain confidentiality ability perform repetitive tasks high degree accuracy preferred qualifications excellent knowledge ms excel ,administrative,environmental services,data specialist,entry level, nv,data entry specialist,full-time
york,st. onge company,2022-06-17,data analyst thank interest st onge company proud established reputation premiere supply chain engineering consulting partner world biggest brands 35 years st onge company named top 100 great supply chain partners world supplychainbrain magazine 11 past 13 years particularly special us nominated clients chosen among thousands wellrespected organizations st onge company experiencing significant growth seeking talented professionals join team many areas business job description st onge company looking talented data analyst join team role requires someone loves use creativity skills solve complex supply chain problems ideal candidate interest wide variety areas data analysis machine learning programming access incredibly deep talent pool managers take vested interest mentoring engineers help give tools need build career want looking employer encourages share ideas use creativity solve complex problems fosters environment career growth development apply today might like job selfstarter eager learn excited challenging work thrive individually part team incredible working environment promotes career personal growth passionate problem solver puts client first strong desire make lasting impact excited grow personally professionally exhibiting core values creativity competence integrity hard work wisdom generosity simply like program solve challenging problems education experience bachelor degree operations research data analytics computer science applied statisticsmathematics economics related field study master degrees disciplines preferred ideal candidate demonstrate high level competency areas data analysis scripting programming experience deploying reproducible statistical models customers experience working environment relies data flow experience big data environment experience various modeling techniques advanced analytics deploying reproducible statistical models model ops kubernetes docker able work within team yet selfdirectedmotivated results oriented high level energy experience fastpaced agile environment must comfortable giving presentations clients strong oral written communication critical success experience manufacturing distribution domains supply chain including raw material semifinished finished goods packaging distribution highly desired experience simulation modeling tools highly desired technical skills required proficient database analysis sql r sas excel access etc python tensorflow1 2 keras scikitlearn r c java scala julia go stan matlab modelops kubernetes docker dataops etl elt data lake data warehouse data lakehouse big data apache products spark kafka hadoop databricks cloud platform aws azure google cloud advanced analytics modeling deep learning machine learning type neural net xgboost random forest bayesian models discrete event simulation optimization mixed integer programming linear programming cplex gurobi genetic algorithms nlp computer vision time series analysis markov models regression analysis andor graphnetwork analysis position based york pa remote candidates considered travel required typically 3050 subject covid19 protocols approvals st onge company client offer employees greatest asset sell products sell services therefore place great value employees company recognize reward employees great work invested success employees committed providing employees every opportunity develop grow career foster environment collaboration innovation transparency inclusiveness employees feel empowered engaged team works together every day collective goal improve customer experience internal external competitive salary bonus program medical dental vision generous tuition reimbursement paid time life insurance 401 k home office equipment stipend much equal opportunityaffirmative action employer discriminate basis race color religion national origin gender sexual orientation gender identity age genetic information physical mental disability veteran status marital status status protected applicable law ,"consulting, analyst, and engineering",truck transportation,data analyst,associate, pa,data analyst,full-time
williston,williston basin school district 7  ( formerly: williston public school district 1 ),2022-06-08,we looking selfstarter jump data management team powerschool experience preferred also working ms365 classlink lots learn never bored keeper datamaking sure sis right info staff right access d7 newly formed k12 district 5000 students forever looking forward innovation futureready students classes look forward hearing data entry active directory powerschool experience great things train someone right attitude ,None,None,data specialist,None, nd,sis data specialist,full-time
tewksbury,dice,2022-06-17,job summary randstad federal decade experience providing talent clearance workforce solutions drive bottomline value federal agencies organizations serve learn meet experienced team get inside look strategic partnerships set us apart lets talk role location tewksbury remote capabilities none clearance required none job summary expertise porting device driver winxp win10os location tewksbury massachusetts job type contract salary 80 85 per hour work hours 8am 4pm education bachelors responsibilities existing homemade windows driver written windowsxp os needs ported windows10 os migrating windows10 due end life issues qualifications experience level experienced minimum 8 years experience education bachelors required skills c 8 years experience required linux gui windows 8 years experience required equal opportunity employer race color religion sex sexual orientation gender identity national origin age genetic information disability protected veteran status legally protected group status certain assignments covid19 vaccination andor testing may required randstads client applicable federal mandate subject approved medical religious accommodations carefully review job posting details vaccinetesting requirements ask randstad representative information provided dice ,information technology,"technology, information and internet",None,entry level, ma,"windows systems engineer, citrix",contract
whippany,barclays,2022-06-14,data engineer whippany nj barclays data engineer part new forces contribute driving data analytics automation data engineering innovations improving data platform infrastructure elements banking technology data insight application portfolio serving banking analysts data scientists data needs identify opportunities improve banking ability scale analytical data infrastructure operational efficiency barclays one worlds largest respected financial institutions 329 years success quality innovation behind us offer careers provide endless opportunity helping millions individuals businesses thrive creating financial digital solutions world takes granted applying sophisticated sql query retrieve needed data vast pool market data sets support new front office business application development supporting identity resolution initiatives across data platform architecting modern data platform designing data pipelines continued expansion data platform mission deployed code performant wellstyled documented applying technical experience data engineering concepts including etl data cleansing transformation partitioning working business analysts support maintenance traceability requirements phases project lifecycle participating education knowledge transfer sessions project teams wider barclays data community looking computer science mis business analytics majors master degree preferred extensive experience sql centric data engineering role handson tableau sap business object handson programming skills pytho skills help role experience aws cloud infrastructure containers openshift dockerkubernetes ideal essential experience creating api endpoints serve data applications knowledge experience working graph database neo4j working barclays proud redefining future finance whippany defining future workplace future way work live creating unique community one four strategic techenabled hubs redefine opportunity everyone works whatever whippany every chance build worldclass career worldclass environment 90327171 ,information technology,banking and financial services,data engineer,mid-senior level, nj,data engineer,full-time
